Fasta headers,Reporter intensity corrected 0,Reporter intensity corrected 1,Reporter intensity corrected 2,Reporter intensity corrected 3,Reporter intensity corrected 4,Reporter intensity corrected 5
tr|A0A075B730|A0A075B730_HUMAN Epiplakin OS=Homo sapiens OX=9606 GN=EPPK1 PE=1 SV=2,22.00026934,21.90407864,22.03065497,18.69260886,18.7428783,18.63333382
tr|A0A087WSV0|A0A087WSV0_HUMAN Bcl-2-like protein 12 OS=Homo sapiens OX=9606 GN=BCL2L12 PE=1 SV=1,19.15138008,19.13477451,19.14797331,19.37572651,19.37314112,19.35034064
"tr|A0A087WSV8|A0A087WSV8_HUMAN Nucleobindin 2, isoform CRA_b OS=Homo sapiens OX=9606 GN=NUCB2 PE=1 SV=1",21.35297163,21.3206439,21.37138673,22.05956846,22.05154767,22.05616546
"tr|A0A087WSW9|A0A087WSW9_HUMAN Thioredoxin reductase 1, cytoplasmic OS=Homo sapiens OX=9606 GN=TXNRD1 PE=1 SV=1",24.18990571,24.16843639,24.21659852,23.93685836,23.92488592,23.94989708
tr|A0A087WT00|A0A087WT00_HUMAN CD302 antigen OS=Homo sapiens OX=9606 GN=CD302 PE=4 SV=1,10.61889053,0,0,12.90859101,13.04713952,13.23454606
tr|A0A087WT20|A0A087WT20_HUMAN DDB1- and CUL4-associated factor 13 OS=Homo sapiens OX=9606 GN=DCAF13 PE=1 SV=1,19.60389294,19.69025193,19.5188317,19.0004027,19.05505712,19.01533078
tr|A0A087WT84|A0A087WT84_HUMAN JmjC domain-containing protein 4 OS=Homo sapiens OX=9606 GN=JMJD4 PE=1 SV=1,13.52896197,13.52233575,13.49431647,13.51376415,13.32217274,13.39390747
tr|A0A087WTA5|A0A087WTA5_HUMAN Translation initiation factor eIF-2B subunit delta OS=Homo sapiens OX=9606 GN=EIF2B4 PE=1 SV=1,16.42818119,16.81861777,16.61032058,16.70812433,16.71872886,16.69929048
tr|A0A087WTF0|A0A087WTF0_HUMAN Protein tyrosine phosphatase domain-containing protein 1 OS=Homo sapiens OX=9606 GN=PTPDC1 PE=1 SV=1,13.79778537,13.52061241,13.41571598,14.29308407,14.0279372,14.21055177
tr|A0A087WTM1|A0A087WTM1_HUMAN Roundabout homolog 1 OS=Homo sapiens OX=9606 GN=ROBO1 PE=1 SV=1,15.07000082,14.90752041,14.9394515,13.99367147,14.20083359,13.67333162
tr|A0A087WU31|A0A087WU31_HUMAN Chloride channel protein OS=Homo sapiens OX=9606 GN=CLCN3 PE=1 SV=1,17.63217014,17.66117275,17.5735394,18.01881084,17.96591242,18.22085903
tr|A0A087WU35|A0A087WU35_HUMAN Zinc finger protein 714 OS=Homo sapiens OX=9606 GN=ZNF714 PE=1 SV=1,17.21490588,16.9262521,16.88711824,16.89612651,17.03044491,16.68594038
tr|A0A087WU53|A0A087WU53_HUMAN Magnesium transporter protein 1 OS=Homo sapiens OX=9606 GN=MAGT1 PE=1 SV=1,19.42757369,19.48597934,19.52664384,19.70616542,19.6843079,19.57039911
tr|A0A087WUC6|A0A087WUC6_HUMAN Signal peptidase complex subunit 2 OS=Homo sapiens OX=9606 GN=SPCS2 PE=1 SV=1,21.20578751,21.13399065,21.21456618,20.6274514,20.67673669,20.73030258
tr|A0A087WUF6|A0A087WUF6_HUMAN Fibroblast growth factor OS=Homo sapiens OX=9606 GN=FGF2 PE=1 SV=2,16.50181891,16.72257979,16.56707562,10.51985395,10.02379307,10.66036788
tr|A0A087WUI6|A0A087WUI6_HUMAN Progesterone-induced-blocking factor 1 OS=Homo sapiens OX=9606 GN=PIBF1 PE=1 SV=1,19.04938414,19.08370512,19.03680065,18.6836911,18.77559613,18.71722688
"tr|A0A087WUK2|A0A087WUK2_HUMAN Heterogeneous nuclear ribonucleoprotein D-like, isoform CRA_b OS=Homo sapiens OX=9606 GN=HNRNPDL PE=1 SV=1",22.61911444,22.83214491,22.60711955,22.81313129,22.75436147,22.73491614
tr|A0A087WUP3|A0A087WUP3_HUMAN GTP-binding protein 8 OS=Homo sapiens OX=9606 GN=GTPBP8 PE=1 SV=1,16.44530444,16.48449126,16.43311679,16.11129443,16.20952607,15.86805636
tr|A0A087WUT6|A0A087WUT6_HUMAN Eukaryotic translation initiation factor 5B OS=Homo sapiens OX=9606 GN=EIF5B PE=1 SV=1,23.51317558,23.35277862,23.52301979,23.93383828,23.95715074,23.91972077
tr|A0A087WUX8|A0A087WUX8_HUMAN MICOS complex subunit OS=Homo sapiens OX=9606 GN=APOOL PE=1 SV=1,19.86657931,19.91068595,19.96360407,18.88117598,18.70648842,18.74590088
tr|A0A087WV20|A0A087WV20_HUMAN Alstrom syndrome protein 1 OS=Homo sapiens OX=9606 GN=ALMS1 PE=1 SV=1,19.4893205,19.36891415,19.25764372,18.83200273,18.81725506,18.85154494
tr|A0A087WV67|A0A087WV67_HUMAN UBX domain-containing protein 8 OS=Homo sapiens OX=9606 GN=UBXN8 PE=1 SV=1,16.93680953,16.93523644,17.02877747,15.87187297,15.82612813,15.76955398
tr|A0A087WVA1|A0A087WVA1_HUMAN Selenoprotein T OS=Homo sapiens OX=9606 GN=SELENOT PE=1 SV=1,16.26508409,16.24588734,16.31144738,15.85177636,15.77136374,15.78344917
tr|A0A087WVF7|A0A087WVF7_HUMAN Intersectin-2 OS=Homo sapiens OX=9606 GN=ITSN2 PE=1 SV=1,19.05678275,19.05926479,19.14753052,18.99580373,19.07544056,19.07841365
tr|A0A087WVF8|A0A087WVF8_HUMAN Myomegalin OS=Homo sapiens OX=9606 GN=PDE4DIP PE=1 SV=1,17.55145365,17.6859477,17.56577863,16.56484811,16.66784402,16.90456597
tr|A0A087WVJ0|A0A087WVJ0_HUMAN Mucin-1 (Fragment) OS=Homo sapiens OX=9606 GN=MUC1 PE=1 SV=1,18.00093397,17.93911421,17.99413034,18.6511965,18.55108601,18.65366088
"tr|A0A087WVM4|A0A087WVM4_HUMAN Monofunctional C1-tetrahydrofolate synthase, mitochondrial OS=Homo sapiens OX=9606 GN=MTHFD1L PE=1 SV=1",22.60512392,22.59362096,22.5984953,22.09917782,22.15478287,22.17470953
tr|A0A087WVP1|A0A087WVP1_HUMAN Protocadherin Fat 1 OS=Homo sapiens OX=9606 GN=FAT1 PE=1 SV=1,18.06446887,18.03290583,18.05449137,19.1166351,19.19113542,19.06705882
tr|A0A087WVQ6|A0A087WVQ6_HUMAN Clathrin heavy chain OS=Homo sapiens OX=9606 GN=CLTC PE=1 SV=1,25.60337008,25.96297599,25.67607411,25.87778791,25.78544885,25.81310058
tr|A0A087WVR3|A0A087WVR3_HUMAN E3 ubiquitin-protein ligase UHRF1 OS=Homo sapiens OX=9606 GN=UHRF1 PE=1 SV=1,20.88468092,21.04317825,20.97066988,21.24407439,21.23836685,21.27083824
tr|A0A087WVS8|A0A087WVS8_HUMAN MOB kinase activator 2 OS=Homo sapiens OX=9606 GN=MOB2 PE=1 SV=2,18.78184545,18.70308733,18.82944452,19.03640508,19.03129467,19.04131062
tr|A0A087WVT1|A0A087WVT1_HUMAN Zinc finger protein 48 OS=Homo sapiens OX=9606 GN=ZNF48 PE=1 SV=1,11.82520593,11.48287334,10.44842358,11.15473598,11.65116002,11.55971227
tr|A0A087WVT9|A0A087WVT9_HUMAN Nucleoside diphosphate kinase OS=Homo sapiens OX=9606 GN=NME4 PE=1 SV=1,14.49928026,14.54019774,14.57153988,11.09366738,11.13039516,11.85800368
tr|A0A087WVZ6|A0A087WVZ6_HUMAN Protein kinase C-binding protein 1 OS=Homo sapiens OX=9606 GN=ZMYND8 PE=1 SV=2,19.00236407,19.1429179,18.94154745,18.89687743,18.99753312,18.99510554
tr|A0A087WW00|A0A087WW00_HUMAN Ubiquitin-conjugating enzyme E2 D1 OS=Homo sapiens OX=9606 GN=UBE2D1 PE=1 SV=1,16.70463934,16.59692753,16.59913112,15.89721662,16.11535443,16.4772222
tr|A0A087WW77|A0A087WW77_HUMAN Lethal(2) giant larvae protein homolog 1 OS=Homo sapiens OX=9606 GN=LLGL1 PE=1 SV=1,19.90738695,19.94545058,19.85265061,19.73392014,19.63573184,19.65735312
tr|A0A087WWA3|A0A087WWA3_HUMAN Kinesin-like protein KIF1B OS=Homo sapiens OX=9606 GN=KIF1B PE=1 SV=1,19.4437731,19.33051791,19.44482053,19.11403827,19.10499586,19.05182179
tr|A0A087WWF1|A0A087WWF1_HUMAN Selenoprotein M OS=Homo sapiens OX=9606 GN=SELENOM PE=1 SV=1,18.73441698,18.55925701,18.80274062,16.12197989,15.84387754,15.99789712
tr|A0A087WWH3|A0A087WWH3_HUMAN BRD4-interacting chromatin-remodeling complex-associated protein OS=Homo sapiens OX=9606 GN=BICRA PE=1 SV=1,13.28741506,13.26565022,13.27931575,13.6891883,13.5029885,13.76537648
tr|A0A087WWP4|A0A087WWP4_HUMAN RNA-binding protein 15 OS=Homo sapiens OX=9606 GN=RBM15 PE=1 SV=1,20.51329292,20.44601052,20.49631399,20.3127934,20.39377759,20.3186726
tr|A0A087WWP8|A0A087WWP8_HUMAN Lysine-specific demethylase 9 OS=Homo sapiens OX=9606 GN=RSBN1 PE=1 SV=1,16.08032715,16.15161706,16.13566949,16.92269487,16.96286559,16.73288788
tr|A0A087WWS1|A0A087WWS1_HUMAN THO complex subunit 1 OS=Homo sapiens OX=9606 GN=THOC1 PE=1 SV=1,20.43761887,20.49422169,20.47330326,20.65963172,20.49755541,20.6511971
tr|A0A087WWU8|A0A087WWU8_HUMAN Tropomyosin alpha-3 chain OS=Homo sapiens OX=9606 GN=TPM3 PE=1 SV=1,25.62218034,25.60772397,25.39178537,25.27575455,25.17265943,25.05847378
tr|A0A087WWW8|A0A087WWW8_HUMAN Calcineurin-binding protein cabin-1 OS=Homo sapiens OX=9606 GN=CABIN1 PE=1 SV=1,18.04834533,17.70226213,17.64733267,16.82482935,17.84834099,17.33062932
tr|A0A087WWY8|A0A087WWY8_HUMAN Cilia- and flagella-associated protein 99 OS=Homo sapiens OX=9606 GN=CFAP99 PE=1 SV=1,16.838826,16.7691809,16.75354923,17.1039531,17.06963794,17.1467006
tr|A0A087WWY9|A0A087WWY9_HUMAN Ras and Rab interactor 3 OS=Homo sapiens OX=9606 GN=RIN3 PE=1 SV=1,14.93823384,14.76172845,15.16192516,15.11770367,15.48020145,15.07324651
tr|A0A087WX02|A0A087WX02_HUMAN Selenoprotein W OS=Homo sapiens OX=9606 GN=SELENOW PE=1 SV=1,15.24652578,15.23339539,15.3824307,13.0211917,12.47419,12.62223642
tr|A0A087WX19|A0A087WX19_HUMAN IQ domain-containing protein E OS=Homo sapiens OX=9606 GN=IQCE PE=1 SV=1,15.39963398,15.33107174,15.32543264,14.44979895,14.70510404,14.66392279
"tr|A0A087WXC5|A0A087WXC5_HUMAN NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 10, mitochondrial OS=Homo sapiens OX=9606 GN=NDUFA10 PE=1 SV=1",21.99648778,22.10548087,22.06933954,21.31009228,21.10148656,21.25158779
tr|A0A087WXD1|A0A087WXD1_HUMAN Sodium/hydrogen exchanger OS=Homo sapiens OX=9606 GN=SLC9A7 PE=1 SV=1,16.72384491,16.67131148,16.60712409,17.22578695,17.16993026,17.28043332
tr|A0A087WXK8|A0A087WXK8_HUMAN Chromosome 20 open reading frame 129 OS=Homo sapiens OX=9606 GN=FAM83D PE=1 SV=1,17.39516506,17.23171173,17.29560901,17.02568766,17.04575169,17.07522188
tr|A0A087WXL6|A0A087WXL6_HUMAN Vacuolar protein sorting-associated protein 11 homolog OS=Homo sapiens OX=9606 GN=VPS11 PE=1 SV=1,19.5202277,19.54089363,19.66882235,19.36461965,19.34526569,19.40146056
tr|A0A087WXM6|A0A087WXM6_HUMAN 60S ribosomal protein L17 (Fragment) OS=Homo sapiens OX=9606 GN=RPL17 PE=3 SV=1,23.61122582,23.52032847,23.60459565,23.32589636,23.41184246,23.33197838
tr|A0A087WXN9|A0A087WXN9_HUMAN MTSS1-like protein OS=Homo sapiens OX=9606 GN=MTSS1L PE=1 SV=1,15.10982001,15.2278197,15.04504641,15.20950323,14.76113178,14.86914868
tr|A0A087WXP3|A0A087WXP3_HUMAN Integrin beta OS=Homo sapiens OX=9606 GN=ITGB6 PE=1 SV=1,20.31791256,20.237725,20.26154564,20.14992372,20.01469004,20.12117467
tr|A0A087WXR3|A0A087WXR3_HUMAN Bifunctional apoptosis regulator OS=Homo sapiens OX=9606 GN=BFAR PE=1 SV=1,14.01639875,13.84193165,14.02265319,13.58164402,13.28991891,13.27112103
tr|A0A087WY00|A0A087WY00_HUMAN Unconventional myosin-Va OS=Homo sapiens OX=9606 GN=MYO5A PE=1 SV=1,18.26166022,18.06364433,18.10570704,18.22140502,18.36525056,18.32840671
tr|A0A087WY03|A0A087WY03_HUMAN Splicing regulatory glutamine/lysine-rich protein 1 OS=Homo sapiens OX=9606 GN=SREK1 PE=1 SV=1,11.24857187,10.00401212,11.17628409,10.77286425,11.38033751,11.32908985
tr|A0A087WY61|A0A087WY61_HUMAN Nuclear mitotic apparatus protein 1 OS=Homo sapiens OX=9606 GN=NUMA1 PE=1 SV=1,18.24833661,18.22660717,18.28108532,18.61604584,18.69288523,18.75813616
tr|A0A087WY71|A0A087WY71_HUMAN AP-2 complex subunit mu OS=Homo sapiens OX=9606 GN=AP2M1 PE=1 SV=1,22.93029115,22.97509078,22.8830137,22.88051748,22.92874257,22.91320511
tr|A0A087WY96|A0A087WY96_HUMAN Transporter OS=Homo sapiens OX=9606 GN=SLC6A6 PE=1 SV=1,15.2987455,15.42778215,15.18995867,14.95152735,15.21866384,15.16548615
tr|A0A087WYF7|A0A087WYF7_HUMAN MICOS complex subunit OS=Homo sapiens OX=9606 GN=APOOL PE=1 SV=1,19.25206649,19.30570682,19.27840359,18.34519753,18.1565075,18.31291329
tr|A0A087WYL7|A0A087WYL7_HUMAN Mediator of RNA polymerase II transcription subunit 6 OS=Homo sapiens OX=9606 GN=MED6 PE=1 SV=1,15.49301155,16.03422822,15.68398794,15.13666603,15.75466625,15.74345864
tr|A0A087WYM5|A0A087WYM5_HUMAN Protein TALPID3 OS=Homo sapiens OX=9606 GN=KIAA0586 PE=1 SV=1,15.78828127,16.12616866,15.90388239,16.05552382,16.29748563,16.00214874
tr|A0A087WYP2|A0A087WYP2_HUMAN Selenoprotein H OS=Homo sapiens OX=9606 GN=SELENOH PE=1 SV=1,19.48717008,19.49904532,19.49456428,19.62000117,19.6885354,19.63832884
tr|A0A087WYU2|A0A087WYU2_HUMAN Methyltransferase-like 26 OS=Homo sapiens OX=9606 GN=METTL26 PE=1 SV=1,19.44190312,19.43313582,19.44088805,18.98808183,18.98285435,18.96318213
tr|A0A087WYV3|A0A087WYV3_HUMAN Nucleolar protein of 40 kDa OS=Homo sapiens OX=9606 GN=ZCCHC17 PE=1 SV=1,16.32935136,16.18835583,16.37422437,16.80797263,16.99628847,17.0202336
tr|A0A087WYV6|A0A087WYV6_HUMAN Tetraspanin-6 OS=Homo sapiens OX=9606 GN=TSPAN6 PE=1 SV=1,18.06754068,18.14645073,18.06091833,18.91251867,18.68179895,18.79104427
tr|A0A087WZ13|A0A087WZ13_HUMAN Ribonucleoprotein PTB-binding 1 OS=Homo sapiens OX=9606 GN=RAVER1 PE=1 SV=1,18.39534621,18.40868979,18.48278792,19.27417295,19.33860358,19.35798237
tr|A0A087WZ32|A0A087WZ32_HUMAN Pleckstrin homology domain-containing family A member 2 OS=Homo sapiens OX=9606 GN=PLEKHA2 PE=1 SV=1,20.22322998,20.10758675,20.2090701,19.54269572,19.49321733,19.58444664
"tr|A0A087WZ41|A0A087WZ41_HUMAN Peptide chain release factor 1, mitochondrial (Fragment) OS=Homo sapiens OX=9606 GN=MTRF1 PE=1 SV=1",10.41651382,11.41105758,11.04854495,10.04168074,10.0616278,9.262311064
tr|A0A087WZ62|A0A087WZ62_HUMAN Mannosyltransferase OS=Homo sapiens OX=9606 PE=3 SV=1,18.98741094,18.99285018,19.03829642,19.35437115,19.34108961,19.44350147
tr|A0A087WZA9|A0A087WZA9_HUMAN Transmembrane protein 120A (Fragment) OS=Homo sapiens OX=9606 GN=TMEM120A PE=1 SV=1,11.45194018,12.63845733,12.01938038,11.73538202,11.70146448,11.25260394
tr|A0A087WZG9|A0A087WZG9_HUMAN Retrotransposon-derived protein PEG10 OS=Homo sapiens OX=9606 GN=PEG10 PE=1 SV=1,17.65525898,17.52482555,17.61295734,19.84587668,19.85875777,19.78368411
"tr|A0A087WZN1|A0A087WZN1_HUMAN Isocitrate dehydrogenase [NAD] subunit, mitochondrial OS=Homo sapiens OX=9606 GN=IDH3B PE=1 SV=1",21.54425725,21.61111241,21.48359194,20.98447348,20.93817204,21.01708431
tr|A0A087X0B7|A0A087X0B7_HUMAN Synaptosomal-associated protein 47 OS=Homo sapiens OX=9606 GN=SNAP47 PE=1 SV=1,15.24380927,15.29634518,15.26196029,15.1513003,15.07757003,15.22959847
tr|A0A087X0D5|A0A087X0D5_HUMAN Pro-cathepsin H OS=Homo sapiens OX=9606 GN=CTSH PE=1 SV=1,17.98849499,17.98198287,17.93772939,16.71412924,16.39083406,16.5009276
tr|A0A087X0G5|A0A087X0G5_HUMAN Mastermind-like protein 2 OS=Homo sapiens OX=9606 GN=MAML2 PE=1 SV=1,9.49227621,10.86013096,10.78526024,10.99333231,11.32164887,10.78014147
tr|A0A087X0M4|A0A087X0M4_HUMAN Kanadaptin OS=Homo sapiens OX=9606 GN=SLC4A1AP PE=1 SV=1,19.60976494,19.55356118,19.61815811,20.11672553,20.12413764,20.1717907
tr|A0A087X0N2|A0A087X0N2_HUMAN Leptin receptor gene-related protein OS=Homo sapiens OX=9606 GN=LEPROT PE=1 SV=1,15.56554701,16.41830811,15.98483964,15.30463804,15.24169594,15.27768983
tr|A0A087X0N3|A0A087X0N3_HUMAN Nucleolar protein 4-like OS=Homo sapiens OX=9606 GN=NOL4L PE=1 SV=1,11.22802125,12.03715991,12.00342272,0,10.73351365,10.06821749
tr|A0A087X0Q1|A0A087X0Q1_HUMAN YTH domain-containing family protein 3 OS=Homo sapiens OX=9606 GN=YTHDF3 PE=1 SV=1,20.85087725,20.79636441,20.87912229,20.61861959,20.64127272,20.6358505
tr|A0A087X0Q9|A0A087X0Q9_HUMAN Selenoprotein O OS=Homo sapiens OX=9606 GN=SELENOO PE=1 SV=1,15.08489372,15.86764712,15.52770631,14.96796435,14.51620226,14.56056581
tr|A0A087X0R6|A0A087X0R6_HUMAN Sorting nexin-12 OS=Homo sapiens OX=9606 GN=SNX12 PE=1 SV=1,21.14522595,21.0715345,21.17488892,21.27809825,21.29317366,21.28164692
tr|A0A087X0S5|A0A087X0S5_HUMAN Collagen alpha-1(VI) chain OS=Homo sapiens OX=9606 GN=COL6A1 PE=1 SV=1,16.01402345,16.07488031,16.16704811,17.71342221,17.75819663,17.80407877
tr|A0A087X0U3|A0A087X0U3_HUMAN Amino acid transporter OS=Homo sapiens OX=9606 GN=SLC1A3 PE=1 SV=1,11.95959064,12.04055436,11.67132781,12.39668372,12.245914,12.27676037
tr|A0A087X0W3|A0A087X0W3_HUMAN Glycosylated lysosomal membrane protein OS=Homo sapiens OX=9606 GN=GLMP PE=1 SV=1,10.31577162,10.36702564,10.79750612,11.48642665,11.64228329,10.69646726
"tr|A0A087X0W7|A0A087X0W7_HUMAN Acyl-coenzyme A thioesterase 2, mitochondrial OS=Homo sapiens OX=9606 GN=ACOT2 PE=1 SV=1",22.06755187,22.16653929,22.08693786,20.84420467,20.93160254,20.94349413
tr|A0A087X165|A0A087X165_HUMAN SRC kinase-signaling inhibitor 1 OS=Homo sapiens OX=9606 GN=SRCIN1 PE=1 SV=1,14.91218487,14.3864688,14.32776934,15.41785584,15.40850406,15.42372829
tr|A0A087X169|A0A087X169_HUMAN PHD finger protein 19 OS=Homo sapiens OX=9606 GN=PHF19 PE=1 SV=1,15.73018418,16.06662097,15.76464911,16.3970984,16.31763689,16.42801161
tr|A0A087X1E4|A0A087X1E4_HUMAN Arfaptin-2 OS=Homo sapiens OX=9606 GN=ARFIP2 PE=1 SV=1,19.35952376,19.41556228,19.52602098,20.13851492,19.94865222,20.02891653
tr|A0A087X1F5|A0A087X1F5_HUMAN SYNJ2BP-COX16 readthrough (Fragment) OS=Homo sapiens OX=9606 GN=SYNJ2BP-COX16 PE=4 SV=6,19.12339583,19.1168841,19.0874317,18.6329169,18.67700787,18.69748643
tr|A0A087X1G1|A0A087X1G1_HUMAN NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 5 OS=Homo sapiens OX=9606 GN=NDUFA5 PE=1 SV=1,22.14324608,22.05774649,21.9752676,21.36781269,21.31676834,21.43826092
tr|A0A087X1G7|A0A087X1G7_HUMAN Selenoprotein F OS=Homo sapiens OX=9606 GN=SELENOF PE=1 SV=1,16.97023963,17.32559639,17.14417635,16.30920694,16.2751662,16.32321065
tr|A0A087X1K9|A0A087X1K9_HUMAN Acyl-protein thioesterase 1 OS=Homo sapiens OX=9606 GN=LYPLA1 PE=1 SV=1,22.22959967,22.16704305,22.22900345,20.60039234,20.66433349,20.59487266
tr|A0A087X1Z3|A0A087X1Z3_HUMAN Proteasome activator complex subunit 2 OS=Homo sapiens OX=9606 GN=PSME2 PE=1 SV=1,22.4184803,22.40529905,22.40421137,23.1557177,23.13189392,23.12844057
tr|A0A087X211|A0A087X211_HUMAN Protein CIP2A OS=Homo sapiens OX=9606 GN=CIP2A PE=1 SV=1,21.44306818,21.41917216,21.440698,21.95807103,21.92126762,21.90730498
tr|A0A087X256|A0A087X256_HUMAN WASH complex subunit 4 OS=Homo sapiens OX=9606 GN=WASHC4 PE=1 SV=1,20.89272584,20.7377388,20.79289349,20.33311208,20.19032999,20.31911858
tr|A0A087X295|A0A087X295_HUMAN WD repeat-containing protein 6 OS=Homo sapiens OX=9606 GN=WDR6 PE=1 SV=1,19.35749444,19.36330247,19.24796888,19.6487714,20.05187431,19.87610837
tr|A0A087X2A5|A0A087X2A5_HUMAN Zinc finger protein 117 OS=Homo sapiens OX=9606 GN=ZNF117 PE=4 SV=1,16.25153905,16.1458825,16.34527063,15.95565228,15.90361368,15.64075234
"tr|A0A087X2D5|A0A087X2D5_HUMAN 39S ribosomal protein L45, mitochondrial OS=Homo sapiens OX=9606 GN=MRPL45 PE=1 SV=1",20.99103957,20.97203289,20.9759884,20.91900495,20.81545633,20.88823361
tr|A0A087X2D8|A0A087X2D8_HUMAN C-Jun-amino-terminal kinase-interacting protein 4 OS=Homo sapiens OX=9606 GN=SPAG9 PE=1 SV=1,21.57100079,21.49549228,21.53472993,22.01753232,22.07407404,22.04556017
tr|A0A087X2H1|A0A087X2H1_HUMAN E3 ubiquitin-protein ligase HECTD1 OS=Homo sapiens OX=9606 GN=HECTD1 PE=1 SV=1,21.3249864,21.26245908,21.35541308,21.63285874,21.65382199,21.59497543
tr|A0A087X2I1|A0A087X2I1_HUMAN 26S proteasome regulatory subunit 10B OS=Homo sapiens OX=9606 GN=PSMC6 PE=1 SV=1,23.11328542,23.1155197,23.1387989,23.42293871,23.44367975,23.42287358
tr|A0A087X2I2|A0A087X2I2_HUMAN Glutathione peroxidase OS=Homo sapiens OX=9606 GN=GPX4 PE=1 SV=1,22.06394203,22.23671503,22.14757569,22.08527196,22.06744406,22.07640154
tr|A0A096LP07|A0A096LP07_HUMAN COP9 signalosome complex subunit 1 OS=Homo sapiens OX=9606 GN=GPS1 PE=1 SV=1,13.08545802,13.03580197,13.09381749,13.86738105,13.76792656,13.3960317
tr|A0A096LP22|A0A096LP22_HUMAN Probable peptidyl-tRNA hydrolase (Fragment) OS=Homo sapiens OX=9606 GN=PTRH1 PE=1 SV=1,17.64797792,17.6238958,17.59256364,16.95974257,17.38412869,17.0878722
tr|A0A096LP25|A0A096LP25_HUMAN AP2-associated protein kinase 1 (Fragment) OS=Homo sapiens OX=9606 GN=AAK1 PE=1 SV=1,19.97926392,20.04611577,19.96979741,19.47099442,19.57118327,19.47749446
tr|A0A096LPB2|A0A096LPB2_HUMAN Small integral membrane protein 26 OS=Homo sapiens OX=9606 GN=SMIM26 PE=1 SV=1,14.60413129,14.57846829,14.5419441,14.00629588,14.03125769,14.22888035
tr|A0A096LPI6|A0A096LPI6_HUMAN Uncharacterized protein (Fragment) OS=Homo sapiens OX=9606 PE=4 SV=2,21.73671808,21.74753576,21.80934478,21.50765871,21.49300725,21.41571248
tr|A0A0A0MQR2|A0A0A0MQR2_HUMAN Replication termination factor 2 OS=Homo sapiens OX=9606 GN=RTF2 PE=1 SV=1,19.97128929,19.88302742,19.94256131,20.5000526,20.60923058,20.57985277
tr|A0A0A0MQS0|A0A0A0MQS0_HUMAN PHD finger protein 20-like protein 1 OS=Homo sapiens OX=9606 GN=PHF20L1 PE=1 SV=1,17.42952112,17.26079295,17.36041879,17.81478177,17.90651859,17.8236234
tr|A0A0A0MQU3|A0A0A0MQU3_HUMAN Ubiquitin-conjugating enzyme E2 D2 OS=Homo sapiens OX=9606 GN=UBE2D2 PE=1 SV=1,21.40543837,21.18591052,21.32494595,20.87030522,20.90523329,20.91213086
tr|A0A0A0MQU4|A0A0A0MQU4_HUMAN Selenocysteine lyase OS=Homo sapiens OX=9606 GN=SCLY PE=1 SV=1,21.11344841,20.13334735,20.75445458,19.66380673,18.44564158,19.17808295
